Dev fold; Tune set; Parameters; Tune loss
2; 52; {'lr': 0.000505, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.29, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0001
2; 53; {'lr': 0.0009292857142857143, 'num_layers': 8, 'dropout': 0.0, 'mask_prob': 0.42999999999999994, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 1024}; 0.9449
2; 54; {'lr': 8.071428571428574e-05, 'num_layers': 1, 'dropout': 0.46428571428571425, 'mask_prob': 0.15, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 2048}; 0.0037
2; 55; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.21428571428571427, 'mask_prob': 0.11499999999999998, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 128}; 0.0006
2; 56; {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.25499999999999995, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}; 0.0004
2; 57; {'lr': 1e-05, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.42999999999999994, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 1024}; 0.0002
2; 58; {'lr': 0.0007878571428571429, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.36, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}; 0.0001
2; 59; {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.3214285714285714, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 1024}; 0.0002
2; 60; {'lr': 0.0002928571428571429, 'num_layers': 2, 'dropout': 0.3571428571428571, 'mask_prob': 0.185, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 512}; 0.0000
2; 61; {'lr': 0.000505, 'num_layers': 4, 'dropout': 0.39285714285714285, 'mask_prob': 0.185, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 32}; 0.0001
2; 62; {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}; 0.0063
2; 63; {'lr': 0.00015142857142857145, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}; 0.0086
2; 64; {'lr': 0.001, 'num_layers': 8, 'dropout': 0.3214285714285714, 'mask_prob': 0.11499999999999998, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0010
2; 65; {'lr': 0.00022214285714285717, 'num_layers': 2, 'dropout': 0.2857142857142857, 'mask_prob': 0.32499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0054
2; 66; {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.5, 'mask_prob': 0.11499999999999998, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0001
2; 67; {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.185, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 512}; 0.0088
2; 68; {'lr': 0.00015142857142857145, 'num_layers': 4, 'dropout': 0.46428571428571425, 'mask_prob': 0.07999999999999999, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 128}; 0.0056
2; 69; {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.29, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0003
2; 70; {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.07142857142857142, 'mask_prob': 0.36, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 7, 'inner_dim': 28}; 0.0064
2; 71; {'lr': 0.0008585714285714286, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 128}; 0.0001
2; 72; {'lr': 0.0005757142857142857, 'num_layers': 4, 'dropout': 0.3571428571428571, 'mask_prob': 0.25499999999999995, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 32}; 0.0001
2; 73; {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.29, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 4, 'inner_dim': 32}; 0.0014
2; 74; {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.0, 'mask_prob': 0.07999999999999999, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 1024}; 0.0003
2; 75; {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.03571428571428571, 'mask_prob': 0.185, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 4096}; 0.0007
2; 76; {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.07142857142857142, 'mask_prob': 0.42999999999999994, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 128}; 0.0042
2; 77; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.5, 'mask_prob': 0.32499999999999996, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 128}; 0.0048
2; 78; {'lr': 0.0008585714285714286, 'num_layers': 4, 'dropout': 0.25, 'mask_prob': 0.39499999999999996, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 1024}; 0.0052
2; 79; {'lr': 0.0003635714285714286, 'num_layers': 8, 'dropout': 0.21428571428571427, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 1024}; 0.0166
2; 80; {'lr': 0.0007171428571428572, 'num_layers': 8, 'dropout': 0.14285714285714285, 'mask_prob': 0.01, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0002
2; 81; {'lr': 0.0003635714285714286, 'num_layers': 4, 'dropout': 0.25, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 2, 'inner_dim': 56}; 0.0099
2; 82; {'lr': 8.071428571428574e-05, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 14}; 0.0100
2; 83; {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.42857142857142855, 'mask_prob': 0.32499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 28}; 0.0084
2; 84; {'lr': 0.00015142857142857145, 'num_layers': 8, 'dropout': 0.14285714285714285, 'mask_prob': 0.07999999999999999, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 256}; 0.0005
2; 85; {'lr': 0.0005757142857142857, 'num_layers': 2, 'dropout': 0.39285714285714285, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 256, 'inner_dim': 256}; 0.0610
2; 86; {'lr': 0.0002928571428571429, 'num_layers': 8, 'dropout': 0.10714285714285714, 'mask_prob': 0.39499999999999996, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 128, 'inner_dim': 4096}; 0.1355
2; 87; {'lr': 0.0009292857142857143, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.29, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 56}; 0.0061
2; 88; {'lr': 0.0007878571428571429, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}; 0.0088
2; 89; {'lr': 0.0005757142857142857, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.39499999999999996, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 56}; 0.0092
2; 90; {'lr': 0.000505, 'num_layers': 1, 'dropout': 0.14285714285714285, 'mask_prob': 0.5, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 256}; 0.0110
2; 91; {'lr': 0.0004342857142857143, 'num_layers': 2, 'dropout': 0.17857142857142855, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 512}; 0.0005
2; 92; {'lr': 0.000505, 'num_layers': 2, 'dropout': 0.42857142857142855, 'mask_prob': 0.11499999999999998, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 16, 'inner_dim': 256}; 0.0003
2; 93; {'lr': 0.00015142857142857145, 'num_layers': 1, 'dropout': 0.3571428571428571, 'mask_prob': 0.01, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 64}; 0.0010
2; 94; {'lr': 0.0009292857142857143, 'num_layers': 2, 'dropout': 0.25, 'mask_prob': 0.42999999999999994, 'upscale_dim': 32, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 256}; 0.0043
2; 95; {'lr': 0.001, 'num_layers': 4, 'dropout': 0.14285714285714285, 'mask_prob': 0.045, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0050
2; 96; {'lr': 0.0006464285714285715, 'num_layers': 1, 'dropout': 0.25, 'mask_prob': 0.07999999999999999, 'upscale_dim': 256, 'batch_size': 128, 'num_heads': 1, 'inner_dim': 512}; 0.0173
2; 97; {'lr': 0.0007171428571428572, 'num_layers': 4, 'dropout': 0.10714285714285714, 'mask_prob': 0.36, 'upscale_dim': 512, 'batch_size': 128, 'num_heads': 32, 'inner_dim': 2048}; 0.8834
2; 98; {'lr': 0.0003635714285714286, 'num_layers': 2, 'dropout': 0.46428571428571425, 'mask_prob': 0.42999999999999994, 'upscale_dim': 128, 'batch_size': 128, 'num_heads': 8, 'inner_dim': 1024}; 0.0000
2; 99; {'lr': 1e-05, 'num_layers': 4, 'dropout': 0.2857142857142857, 'mask_prob': 0.25499999999999995, 'upscale_dim': 14, 'batch_size': 128, 'num_heads': 14, 'inner_dim': 112}; 0.0385
2; 100; {'lr': 0.00022214285714285717, 'num_layers': 1, 'dropout': 0.10714285714285714, 'mask_prob': 0.185, 'upscale_dim': 64, 'batch_size': 128, 'num_heads': 64, 'inner_dim': 64}; 0.0078
